#Frame             Rg      Rg[Max]
     756       6.8648      11.6377
     757       6.9652      11.9119
     758       6.9507      11.5412
     759       6.9510      12.2441
     760       6.8768      11.4144
     761       6.9163      11.5518
     762       6.9651      11.8720
     763       6.8732      11.3834
     764       6.8507      11.7376
     765       6.9100      11.6095
     766       6.9170      11.8597
     767       6.8947      11.8071
     768       6.9536      11.7711
     769       7.0002      11.8457
     770       6.9558      11.7960
     771       6.8945      11.9717
     772       6.8898      11.6956
     773       6.8825      11.5740
     774       6.9218      11.8874
     775       7.0257      11.7667
     776       7.0535      11.9459
     777       7.0273      11.9443
     778       6.9081      11.8403
     779       6.9394      12.0547
     780       7.1464      11.9947
     781       7.0479      12.2832
     782       7.1235      12.1262
     783       7.0501      11.8716
     784       6.8996      11.7488
     785       7.0048      12.0933
     786       6.8853      11.7576
     787       7.0478      12.0154
     788       6.9836      12.0375
     789       6.9517      12.0280
     790       7.0226      12.0882
     791       7.0708      12.5053
     792       6.9211      13.2541
     793       6.9057      11.4492
     794       7.0050      12.0384
     795       6.9398      11.5650
     796       6.8067      11.3157
     797       6.8608      11.4346
     798       6.8931      11.9524
     799       7.0701      12.2312
     800       6.9155      12.0786
     801       6.8379      11.4517
     802       6.8649      11.3397
     803       6.8973      12.0511
     804       6.9499      11.8213
     805       6.9570      11.7527
     806       6.9360      11.7844
     807       7.0014      11.7686
     808       6.9781      11.9643
     809       6.8896      11.6377
     810       7.0512      11.9906
     811       6.9674      12.2712
     812       6.8632      12.5197
     813       6.8258      12.6068
     814       6.9861      12.6106
     815       6.8620      12.0936
     816       6.9130      12.9596
     817       6.9168      11.5965
     818       6.8189      11.4196
     819       6.8282      11.2181
     820       6.9207      12.2408
     821       6.9219      11.8316
     822       6.8913      12.5897
     823       6.8139      11.8160
     824       6.8945      12.2212
     825       6.9911      12.9523
     826       6.9312      12.4250
     827       6.8487      11.9989
     828       6.8253      11.4038
     829       6.8407      11.2302
     830       6.7809      11.3749
     831       6.9064      11.7488
     832       6.9160      11.8892
     833       7.0297      12.6671
     834       7.0384      12.5890
     835       6.9200      11.9352
     836       6.9001      11.5476
     837       6.9801      11.5609
     838       6.7277      11.2686
     839       6.9334      12.1995
     840       7.0171      11.5280
     841       6.8760      11.4233
     842       6.9077      11.6513
     843       6.8895      11.8021
     844       6.9197      12.0808
     845       6.8868      11.4036
     846       6.8457      11.3293
     847       6.8645      11.4348
     848       6.8536      11.1791
     849       6.8259      11.1385
     850       6.9217      11.5190
     851       6.8304      11.5857
     852       6.8940      11.6268
     853       6.8895      11.9234
     854       6.9055      11.6224
     855       6.8808      11.1810
     856       6.9336      11.9733
     857       6.9310      11.9078
     858       6.9224      11.9481
     859       6.7832      11.6522
     860       6.9147      11.5551
     861       6.8842      11.3012
     862       6.8720      10.9124
     863       6.8845      11.3073
     864       6.8747      11.4131
     865       6.6793      10.9585
     866       6.8892      11.4139
     867       6.8187      11.3072
     868       7.0133      11.5464
     869       6.9385      11.4218
     870       6.8997      11.5485
     871       6.8674      11.4833
     872       6.9387      11.9276
     873       7.0073      11.9509
     874       6.8791      11.4898
     875       7.0289      11.7633
     876       6.8768      11.3967
     877       6.8316      11.4419
     878       7.0074      11.7980
     879       6.9951      11.3494
     880       6.7629      11.0801
     881       6.9180      12.1921
     882       6.7620      11.7074
     883       6.8724      12.1124
     884       6.8827      11.5456
     885       6.9334      11.2875
     886       6.8977      11.7900
     887       6.9413      11.8195
     888       6.9741      11.6176
     889       6.8238      11.8811
     890       6.8701      11.8140
     891       6.7473      11.0110
     892       6.8052      11.2444
     893       6.8933      11.5038
     894       6.8771      11.9633
     895       6.8738      11.5364
     896       6.9425      12.6544
     897       6.9862      11.8387
     898       7.0147      12.4685
     899       6.8557      11.2602
     900       6.9156      12.0229
     901       6.8070      11.2525
     902       6.9301      11.2498
     903       6.8057      11.4270
     904       6.8608      11.4970
     905       7.0014      11.4483
     906       7.0477      11.6144
     907       7.0116      11.6132
     908       7.0172      11.9439
     909       6.9843      11.8106
     910       6.9072      11.6560
     911       6.8259      11.3736
     912       6.9251      11.8338
     913       6.9550      11.6527
     914       6.8759      12.2162
     915       6.9550      11.5704
     916       6.9472      11.3692
     917       6.7602      11.4162
     918       6.9221      11.2542
     919       6.9686      11.9249
     920       6.9946      11.6276
     921       7.0173      11.5220
     922       6.9045      11.4031
     923       6.9036      11.3826
     924       7.0716      11.7196
     925       6.8769      11.3263
     926       7.0017      11.6939
     927       7.0918      11.9790
     928       6.9683      11.6190
     929       6.9474      11.6814
     930       7.1050      11.9833
     931       6.8381      11.7934
     932       6.9420      11.5330
     933       6.9227      11.5158
     934       6.8166      11.5140
     935       6.8403      11.5467
     936       6.7962      11.3856
     937       6.8496      11.3457
     938       7.0271      11.3594
     939       6.9096      12.4189
     940       6.7976      11.5367
     941       6.7850      11.0993
     942       6.7537      11.3613
     943       6.8985      11.3745
     944       6.9154      11.4943
     945       6.8765      11.5460
     946       6.7765      11.3141
     947       6.6871      10.7901
     948       6.7786      11.2311
     949       6.7989      11.2063
     950       6.6791      11.1202
     951       6.7230      10.7095
     952       6.8662      11.6539
     953       6.7827      11.4561
     954       6.8453      11.7244
     955       6.8716      11.8704
     956       6.8203      11.8545
     957       6.9195      11.5563
     958       6.8630      11.7734
     959       6.6862      11.4979
     960       6.7643      12.1053
     961       6.7557      11.6079
     962       6.9066      12.1988
     963       6.8299      11.4517
     964       6.8810      11.4794
     965       6.7627      11.2120
     966       6.9030      11.6402
     967       6.8396      12.3467
     968       6.9026      11.9035
     969       6.8627      11.4932
     970       6.9029      11.5909
     971       6.8963      11.8609
     972       6.9914      12.2973
     973       6.9145      11.9742
     974       6.9300      11.9165
     975       6.9283      11.9174
     976       6.8576      11.8669
     977       6.9493      11.8102
     978       6.9173      12.0459
     979       6.7654      11.0750
     980       6.7283      10.9564
     981       6.9361      12.2016
     982       6.7991      11.6965
     983       6.8674      11.7409
     984       6.8104      11.8670
     985       6.8159      11.2751
     986       6.8436      11.6030
     987       6.7988      11.5287
     988       6.9088      11.8467
     989       6.8316      11.9690
     990       6.7951      11.6097
     991       6.8856      11.3255
     992       6.7978      11.3910
     993       6.8534      11.9807
     994       6.7748      11.3127
     995       6.9053      11.6403
     996       6.7452      11.5281
     997       6.7557      11.1649
     998       6.8067      11.4802
     999       6.8239      11.4675
    1000       6.8523      11.9383
    1001       6.9596      12.4181
    1002       6.9502      11.9140
    1003       6.8872      12.0033
    1004       6.9189      11.8413
    1005       6.8527      11.5793
    1006       6.8250      12.6522
    1007       6.9643      12.4793
    1008       6.8971      11.7876
    1009       6.8407      12.9559
    1010       6.8519      12.6333
    1011       6.8673      12.7954
    1012       7.0269      13.2956
    1013       6.8447      11.6903
    1014       6.9112      12.3474
    1015       6.8890      11.7102
    1016       6.8380      11.3785
    1017       6.7782      11.5628
    1018       6.8099      11.5833
    1019       6.8799      12.0950
    1020       6.8294      12.0966
    1021       6.8930      11.8402
    1022       6.8475      11.6897
    1023       6.7599      11.3332
    1024       6.8277      12.2361
    1025       6.8482      12.9698
    1026       6.9847      12.2052
    1027       6.8429      11.0018
    1028       6.8108      11.5944
    1029       6.8134      11.5076
    1030       6.8790      11.8449
    1031       6.7784      11.5485
    1032       6.9782      12.5412
    1033       6.9365      11.8218
    1034       6.8574      10.9886
    1035       6.7828      10.8801
    1036       6.8106      11.0406
    1037       6.8390      12.3129
    1038       6.9201      11.8716
    1039       7.0003      12.7392
    1040       6.9212      12.6771
    1041       7.1937      13.4432
    1042       7.1870      13.8758
    1043       7.2545      13.7872
    1044       7.1464      13.5399
    1045       6.9893      12.3223
    1046       7.2503      13.3572
    1047       7.0124      12.4125
    1048       7.2815      13.6169
    1049       7.1784      13.1404
    1050       7.0992      11.3727
    1051       7.1241      13.4190
    1052       7.1116      13.1189
    1053       7.0846      13.9762
    1054       7.1145      12.9622
    1055       6.8027      11.6341
    1056       6.8094      11.3476
    1057       6.8621      11.5342
    1058       6.9148      11.9055
    1059       6.7997      11.2710
    1060       6.8795      12.1036
    1061       6.9216      11.3615
    1062       6.8542      11.4771
    1063       6.8233      11.6230
    1064       7.1036      12.0134
    1065       6.9220      11.6678
    1066       6.9217      11.5453
